,Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultsScore, ,EventScore
86,87,8398,MikkPAHAPILL,18JUL1983,EST,3,,"Mösle-Stadium,Götzis(AUT)",29MAY2011,1188, ,(11.08/+0.9-7.39/-1.3-15.48-2.03-50.95/14.70/-0.9-48.79-5.06-69.53-4:39.41)
87,87,8398,WillemCOERTZEN,30DEC1982,RSA,3,,"Mösle-Stadium,Götzis(AUT)",31MAY2015,1188, ,(10.99/+0.3-7.46/-1.0-14.14-2.03-48.73/14.17/+1.5-44.84-4.60-68.43-4:22.22)
88,89,8396,JanFelixKNOBEL,16JAN1989,GER,3,,"Stadionring,Ratingen(GER)",16JUN2013,1164, ,(10.85/+5.4-7.36/+1.0-15.82-1.91-49.19/14.59/+0.9-49.21-5.00-71.61-4:51.68)
89,90,8393,CarlosEduardoBEZERRACHININ,03MAY1985,BRA,1,,SãoPaulo(BRA),08JUN2013,1187, ,(10.85/+0.5-7.55/+0.9-15.28-2.04-48.18/14.08/+1.0-42.46-4.90-59.58-4:34.77)
90,91,8375,PavelTARNAVETSKIY,22FEB1961,URS,3,,"StadioOlimpico,Roma(ITA)",04SEP1987,1160, ,(11.01/NWI-7.43/+1.6-15.32-2.07-49.22/14.86/NWI-47.66-4.90-58.60-4:23.96)
91,92,8371,AndréNIKLAUS,30AUG1981,GER,5,,"YanmarStadiumNagai,Osaka(JPN)",01SEP2007,1184, ,(11.12/+0.2-7.42/+0.4-14.12-2.06-49.40/14.51/-0.2-44.48-5.30-63.28-4:32.50)
92,92,8371,JanekÕIGLANE,25APR1994,EST,4,,"OlympicStadium,London(GBR)",12AUG2017,1184, ,(11.08/-0.2-7.33/-0.1-15.13-2.05-49.58/14.56/-0.5-42.11-5.10-71.73-4:39.24)
93,94,8367,CedricDUBLER,13JAN1995,AUS,2,,"QSAC,Nathan,Brisbane(AUS)",20DEC2020,1183, ,(10.79/-0.3-7.62/0.0-13.24-2.11-47.84/14.34/+1.6-41.70-5.00-62.48-4:41.05)
94,95,8366,VadimPODMARYOV,04SEP1958,URS,1,,Tashkent(UZB),26MAY1985,1159, ,(11.09/NWI-7.56/NWI-15.28-2.08-50.00/14.89/NWI-48.58-4.60-67.46-4:32.31)
95,95,8366,SimonPOELMAN,27MAY1963,NZL,1,,Christchurch(NZL),22MAR1987,1183, ,(10.87/+0.1-7.34/+1.0-15.11-2.06-49.54/14.1h/+0.1-46.66-4.95-56.94-4:27.2h)
96,97,8365,SergeySVIRIDOV,20OCT1990,RUS,1,,"Adler,Sochi(RUS)",08MAY2012,1183, ,(10.88/+1.2-7.52/+1.2-15.03-1.94-48.28/14.83/+0.5-49.01-4.40-68.89-4:25.15)
97,98,8364,IgorMARYIN,28APR1965,URS,2,,Kiev(URS),31JUL1988,1159, ,(N/A-N/A-N/A-N/A-N/A/N/A-N/A-N/A-N/A-N/A)
98,98,8364,FelipeDOSSANTOS,30JUL1994,BRA,1,,"COTPStadium,SãoPaulo(BRA)",12DEC2020,1183, ,(10.40/+0.8-7.64/-1.4-14.04-2.07-48.01/14.01/+1.4-42.46-4.90-59.82-4:55.83)
99,100,8363,ChielWARNERS,02APR1978,NED,5,,Götzis(AUT),30MAY1999,1183, ,(10.78/-1.2-7.76/-0.2-14.74-1.97-46.61/14.32/-0.9-40.91-4.80-61.44-4:37.07)
